"File","Probe","Text","CheckTags","OriginalResult","DoActions","Context","SpeakerProbe","ConditionRow","ConditionReference","LineList"
"RE_Kenshi_log_when_child_nodes.txt","(missing)","","0","0","0","0","0","0","5116","20901"
"RE_Kenshi_log_when_child_nodes.txt","161-gamedata.quack","","1008","1008","0","0","0","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","17-IdentitySpike.mod","SHOPKEEP CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_ME ","13","13","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","19-IdentitySpike.mod","SHOPKEEP CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_TARGET_IF_PLAYER ","13","13","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","20-IdentitySpike.mod","SHOPKEEP CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_INTERJECTOR1","12","12","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","21-IdentitySpike.mod","SHOPKEEP CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_WHOLE_SQUAD","13","13","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","24-IdentitySpike.mod","SHOPKEEP CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_TARGET_WITH_RACE_GREENLANDER","13","13","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","25-IdentitySpike.mod","SHOPKEEP CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_TARGET_WITH_RACE_HIVE_PRINCE","12","12","0","0","0","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","26-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_ME","24","24","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","27-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_TARGET","26","26","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","28-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_TARGET_IF_PLAYER ","5","5","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","29-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_INTERJECTOR1_AFTER_INTERJECTOR_NODE","1","1","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","30-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_WHOLE_SQUAD ","27","27","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","31-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_TARGET_WITH_RACE_GREENLANDER","23","23","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","32-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_TARGET_WITH_RACE_HIVE_PRINCE","4","4","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","34-IdentitySpike.mod","PACIFIER CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_ME","23","23","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","35-IdentitySpike.mod","PACIFIER CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_TARGET ","23","23","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","37-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD INTERJECTOR_NODE","120","120","0","0","0","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","39-IdentitySpike.mod","SHOPKEEP CHILD  EV_PLAYER_TALK_TO_ME INTERJECTOR_NODE","16","16","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","41-IdentitySpike.mod","PACIFIER CHILD PROBE EV_PLAYER_TALK_TO_ME INTERJECTOR_NODE","30","30","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","43-IdentitySpike.mod","PACIFIER CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_INTERJECTOR1","22","22","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","44-IdentitySpike.mod","PACIFIER CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_WHOLE_SQUAD","23","23","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","45-IdentitySpike.mod","PACIFIER CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_TARGET_WITH_RACE_GREENLANDER","23","23","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","46-IdentitySpike.mod","PACIFIER CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_TARGET_WITH_RACE_HIVE_PRINCE","22","22","0","0","0","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","48-IdentitySpike.mod","PACIFIER CHILD PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_ME","8","8","0","0","0","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","49-IdentitySpike.mod","PACIFIER CHILD PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_TARGET","8","8","0","0","0","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","50-IdentitySpike.mod","PACIFIER CHILD PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_TARGET_IF_PLAYER ","8","8","0","0","0","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","52-IdentitySpike.mod","PACIFIER CHILD PROBE EV_I_SEE_NEUTRAL_SQUAD INTERJECTOR_NODE","8","8","0","0","0","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","54-IdentitySpike.mod","PACIFIER CHILD PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_INTERJECTOR1","8","8","0","0","0","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","55-IdentitySpike.mod","PACIFIER CHILD PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_WHOLE_SQUAD ","8","8","0","0","0","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","56-IdentitySpike.mod","PACIFIER CHILD PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_TARGET_WITH_RACE_HIVE_PRINCE","8","8","0","0","0","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","57-IdentitySpike.mod","PACIFIER CHILD PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_TARGET_WITH_RACE_GREENLANDER","8","8","0","0","0","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","59-IdentitySpike.mod","PACIFIER TALK_TO_ME_PARENT_NODE","2504","2504","11","11","66","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","61-IdentitySpike.mod","PACIFIER I_SEE_NEUTRAL_PARENT_NODE","8","8","8","8","48","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","62-IdentitySpike.mod","SHOPKEEP TALK_TO_ME_PARENT_NODE","1008","1008","6","6","36","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","63-IdentitySpike.mod","SHOPKEEP I_SEE_NEUTRAL_PARENT_NODE","36","36","36","36","216","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","(missing)","","0","0","0","0","0","0","16258","67061"
"RE_Kenshi_log_when_parent_nodes.txt","17-IdentitySpike.mod","SHOPKEEP PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_ME ","268","268","1","1","6","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","19-IdentitySpike.mod","SHOPKEEP PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_TARGET_IF_PLAYER ","399","399","1","1","6","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","21-IdentitySpike.mod","SHOPKEEP PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_WHOLE_SQUAD","556","556","1","1","6","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","24-IdentitySpike.mod","SHOPKEEP PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_TARGET_WITH_RACE_GREENLANDER","761","761","1","1","6","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","26-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_ME","79","79","1","1","6","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","27-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_TARGET","81","81","1","1","6","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","28-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_TARGET_IF_PLAYER ","68","68","1","1","6","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","29-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_INTERJECTOR1_AFTER_INTERJECTOR_NODE","1","1","1","1","6","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","30-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_WHOLE_SQUAD ","82","82","1","1","6","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","31-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_TARGET_WITH_RACE_GREENLANDER","83","83","1","1","6","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","34-IdentitySpike.mod","PACIFIER PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_ME","228","228","1","1","6","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","35-IdentitySpike.mod","PACIFIER PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_TARGET ","358","358","1","1","6","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","37-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD INTERJECTOR_NODE","249","249","0","0","0","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","39-IdentitySpike.mod","SHOPKEEP PROBE EV_PLAYER_TALK_TO_ME INTERJECTOR_NODE","2283","2283","0","0","0","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","40-IdentitySpike.mod","SHOPKEEP PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_INTERJECTOR1_AFTER_INTERJECTOR_NODE","91","91","1","1","6","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","41-IdentitySpike.mod","PACIFIER PROBE EV_PLAYER_TALK_TO_ME INTERJECTOR_NODE","6024","6024","0","0","0","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","42-IdentitySpike.mod","PACIFIER PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_INTERJECTOR1_AFTER_INTERJECTOR_NODE","40","40","1","1","6","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","44-IdentitySpike.mod","PACIFIER PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_WHOLE_SQUAD","516","516","1","1","6","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","45-IdentitySpike.mod","PACIFIER PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_TARGET_WITH_RACE_GREENLANDER","713","713","1","1","6","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","48-IdentitySpike.mod","PACIFIER PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_ME","400","400","1","1","6","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","49-IdentitySpike.mod","PACIFIER PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_TARGET","402","402","1","1","6","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","50-IdentitySpike.mod","PACIFIER PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_TARGET_IF_PLAYER ","368","368","1","1","6","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","52-IdentitySpike.mod","PACIFIER PROBE EV_I_SEE_NEUTRAL_SQUAD INTERJECTOR_NODE","1432","1432","0","0","0","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","53-IdentitySpike.mod","PACIFIER PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_INTERJECTOR1_AFTER_INTERJECTOR_NODE","1","1","1","1","6","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","55-IdentitySpike.mod","PACIFIER PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_WHOLE_SQUAD ","404","404","2","2","12","0","0","0"
"RE_Kenshi_log_when_parent_nodes.txt","57-IdentitySpike.mod","PACIFIER PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_TARGET_WITH_RACE_GREENLANDER","371","371","2","2","12","0","0","0"
